y,y1,x1,x2,x3,x4,x5,x6,x7,x8,x9
4.0004122359525649,3.4402976866303101,3,1,3,20,1,1.658188,1.388331,2.8986589999999999,75.611671000000001
3.9998336437792448,3.1419449618291102,3,6,1,20,1,1.3741239999999999,1.341299,3.673381,97.530105000000006
3.9998336437792448,3.6031383461209701,3,6,3,20,1,1.3741239999999999,1.341299,3.673381,97.530105000000006
3.9998336437792448,3.8208793594281398,3,1,1,20,1,1.3741239999999999,1.341299,3.673381,97.530105000000006
3.9998336437792448,3.1419449618291102,3,6,1,20,1,1.3741239999999999,1.341299,3.673381,97.530105000000006
3.9998336437792448,3.88341493517553,3,1,3,20,1,1.3741239999999999,1.341299,3.673381,97.530105000000006
3.9998336437792448,3.3016870348601199,3,1,1,10,1,1.3741239999999999,1.341299,3.673381,97.530105000000006
3.9998336437792448,3.1419449618291102,3,6,1,20,1,1.3741239999999999,1.341299,3.673381,97.530105000000006
3.9325739554093047,3.8117498152884202,4,6,1,23,0.041700000000000001,1.4091469999999999,1.299223,2.6353879999999998,18.222769
3.9325739554093047,3.8117498152884202,4,6,1,23,0.041700000000000001,1.4091469999999999,1.299223,2.6353879999999998,18.222769
3.9325739554093047,3.8117498152884202,4,6,1,23,0.041700000000000001,1.4091469999999999,1.299223,2.6353879999999998,18.222769
3.9165385556127954,3.40077505338787,3,1,3,20,1,1.837485,1.419224,2.5706169999999999,39.476486999999999
3.8326637621731177,2.2484237053599401,4,1,1,22,2,1.5954619999999999,1.3889940000000001,2.2771409999999999,54.191592
3.6989700043360187,3.2129273898261599,4,3,1,22,0.0035000000000000001,1.4481189999999999,1.3571930000000001,3.0020180000000001,65.090712999999994
3.6989700043360187,3.1050969618997701,4,3,1,22,0.020799999999999999,1.4481189999999999,1.3571930000000001,3.0020180000000001,65.090712999999994
3.6600270498043552,3.2704626545554398,4,6,1,20,0.83330000000000004,1.7381489999999999,1.5608439999999999,1.400379,71.967768000000007
3.5646293192544403,2.8189435473259898,4,1,1,22,2,1.3971899999999999,1.3250919999999999,3.667243,139.10991999999999
3.5621397516390281,3.2347635398116799,4,6,1,20,1.8332999999999999,1.7381489999999999,1.5608439999999999,1.400379,71.967768000000007
3.5609028609313715,2.9811865681851701,3,1,3,20,1,1.369745,1.38405,2.9881549999999999,123.77092399999999
3.5316337665091369,2.38572426568878,4,1,1,23,1.5,1.5954619999999999,1.3889940000000001,2.2771409999999999,54.191592
3.4999618655961902,2.4858057358601799,3,6,1,6,1,1.5954619999999999,1.3889940000000001,2.2771409999999999,54.191592
3.3979400086720375,3.2699002340994001,5,6,1,20,1,1.5954619999999999,1.3889940000000001,2.2771409999999999,54.191592
3.3913831260996194,2.8902385567610902,4,5,1,20,3,1.7381489999999999,1.5608439999999999,1.400379,71.967768000000007
3.3590762260592628,2.3089775939724202,1,6,1,10,0.041700000000000001,1.5954619999999999,1.3889940000000001,2.2771409999999999,54.191592
3.3424226808222062,2.5635471218424501,1,6,1,5,2,1.764276,1.4288730000000001,3.311938,110.75593600000001
3.3390208689371557,3.1347022185390099,4,6,1,20,2.8332999999999999,1.7381489999999999,1.5608439999999999,1.400379,71.967768000000007
3.3096301674258988,3.2699002340994001,5,6,1,20,1,1.5954619999999999,1.3889940000000001,2.2771409999999999,54.191592
3.3010299956639813,2.5938268726374401,3,6,3,24,1,1.3971899999999999,1.3250919999999999,3.667243,139.10991999999999
3.2595938788859486,2.7429138096458798,4,6,1,20,4,1.716534,1.4426460000000001,3.3251029999999999,128.763285
3.2595938788859486,2.7138100005858101,4,6,1,20,1,1.716534,1.4426460000000001,3.3251029999999999,128.763285
3.2595938788859486,2.7146201992975798,4,6,1,20,2,1.716534,1.4426460000000001,3.3251029999999999,128.763285
3.2494429614425822,2.0288578105798201,1,6,1,10,0.041700000000000001,1.8894820000000001,1.576716,3.0689790000000001,169.580533
3.2304489213782741,3.2699002340994001,5,6,1,20,1,1.5954619999999999,1.3889940000000001,2.2771409999999999,54.191592
3.2041199826559246,3.2699002340994001,5,6,1,20,1,1.5954619999999999,1.3889940000000001,2.2771409999999999,54.191592
3.1846317609015546,3.0849802536639399,4,6,1,20,0.83330000000000004,1.5954619999999999,1.3889940000000001,2.2771409999999999,54.191592
3.1794512483977742,2.7164180334350099,4,6,1,22,1,1.5954619999999999,1.3889940000000001,2.2771409999999999,54.191592
